East [m],North [m]
-96.74149380031713,73.02109655050833
16.08685432214861,30.710466004583623
-107.31915143679839,-43.333137450784534
3.746253746253842,-73.30316742081448
-47.37909149673851,-1.0225069048598243
-133.7632955280012,170.86442968795905
134.2040312628551,134.72409942998172
264.6618087794561,199.95298818828223
-387.62707880354935,-298.959863665746
-239.53987189281293,21.014279837809227
138.61138861138875,-71.54022448140097
314.9056825527416,24.54016571663624
-49.14203443615202,-209.9312452253629
288.4615384615388,-200.2350590585885
127.15225950520085,-213.4571311041899
-220.14749955926413,-181.72415819474645
35.4792266556974,-374.76641006052773
-176.07392607392603,-349.20373743903156
-376.16794969736145,-100.62878298172416
